Year,Age,BOY_I,BOY_R,BOY_D,BOY_Total,Deposit,Target_W_I,Target_W_R,Target_W_D,Target_$ _I,Target_$ _R,Target_$ _D,Trade_I,Trade_R,Trade_D,Inc_I,Inc_R,Inc_D,Tax_I_Paid,Tax_R_Paid,Deferred_CG_Tax_Accrued,EOY_I,EOY_R,EOY_D,Fund_Before_Deferred,Deferred_Tax_Cum,Net_After_Tax
1,31,0.0,0.0,0.0,0.0,61569.0,0.5,0.3,0.2,30784.5,18470.7,12313.8,30784.5,18470.7,12313.8,1077.46,1570.01,861.97,-574.39,-418.49,229.76,31287.56,19622.22,13175.77,64085.55,229.76,63855.8
2,32,31287.56,19622.22,13175.77,64085.55,61569.0,0.5,0.3,0.2,62827.28,37696.37,25130.91,31539.71,18074.14,11955.14,2198.95,3204.19,1759.16,-1172.26,-854.08,468.91,63853.97,40046.48,26890.07,130790.52,698.66,130091.86
3,33,63853.97,40046.48,26890.07,130790.52,61569.0,0.5,0.3,0.2,96179.76,57707.86,38471.9,32325.79,17661.38,11581.83,3366.29,4905.17,2693.03,-1794.57,-1307.47,717.83,97751.48,61305.55,41164.94,200221.97,1416.49,198805.48
4,34,97751.48,61305.55,41164.94,200221.97,61569.0,0.5,0.3,0.2,130895.49,78537.29,52358.19,33144.0,17231.74,11193.26,4581.34,6675.67,3665.07,-2442.31,-1779.4,976.93,133034.52,83433.56,56023.27,272491.35,2393.42,270097.93
5,35,133034.52,83433.56,56023.27,272491.35,61569.0,0.5,0.3,0.2,167030.17,100218.1,66812.07,33995.66,16784.54,10788.8,5846.06,8518.54,4676.84,-3116.53,-2270.62,1246.61,169759.7,106466.03,71488.91,347714.64,3640.03,344074.61
6,36,169759.7,106466.03,71488.91,347714.64,61569.0,0.5,0.3,0.2,204641.82,122785.09,81856.73,34882.12,16319.06,10367.81,7162.46,10436.73,5729.97,-3818.31,-2781.91,1527.32,207985.97,130439.91,87586.7,426012.58,5167.35,420845.23
7,37,207985.97,130439.91,87586.7,426012.58,61569.0,0.5,0.3,0.2,243790.79,146274.48,97516.32,35804.82,15834.56,9929.62,8532.68,12433.33,6826.14,-4548.77,-3314.1,1819.51,247774.7,155393.7,104342.46,507510.86,6986.86,500524.0
8,38,247774.7,155393.7,104342.46,507510.86,61569.0,0.5,0.3,0.2,284539.93,170723.96,113815.97,36765.23,15330.26,9473.51,9958.9,14511.54,7967.12,-5309.09,-3868.05,2123.64,289189.74,181367.44,121783.09,592340.27,9110.5,583229.78
9,39,289189.74,181367.44,121783.09,592340.27,61569.0,0.5,0.3,0.2,326954.64,196172.78,130781.85,37764.9,14805.34,8998.76,11443.41,16674.69,9154.73,-6100.48,-4444.64,2440.19,332297.57,208402.83,139936.58,680636.98,11550.69,669086.29
10,40,332297.57,208402.83,139936.58,680636.98,61569.0,0.5,0.3,0.2,371102.99,222661.79,148441.2,38805.42,14258.96,8504.61,12988.6,18926.25,10390.88,-6924.23,-5044.79,2769.69,377167.37,236543.25,158832.08,772542.7,14320.38,758222.33
11,41,377167.37,236543.25,158832.08,772542.7,61569.0,0.5,0.3,0.2,417055.85,250233.51,166822.34,39888.48,13690.26,7990.26,14596.95,21269.85,11677.56,-7781.64,-5669.48,3112.65,423871.17,265833.88,178499.9,868204.96,17433.03,850771.92
12,42,423871.17,265833.88,178499.9,868204.96,61569.0,0.5,0.3,0.2,464886.98,278932.19,185954.79,41015.81,13098.31,7454.89,16271.04,23709.24,13016.84,-8674.09,-6319.7,3469.64,472483.93,296321.73,198971.63,967777.28,20902.67,946874.61
13,43,472483.93,296321.73,198971.63,967777.28,61569.0,0.5,0.3,0.2,514673.14,308803.88,205869.26,42189.21,12482.16,6897.63,18013.56,26248.33,14410.85,-9603.03,-6996.49,3841.21,523083.67,328055.72,220280.1,1071419.5,24743.88,1046675.62
14,44,523083.67,328055.72,220280.1,1071419.5,61569.0,0.5,0.3,0.2,566494.25,339896.55,226597.7,43410.58,11840.83,6317.6,19827.3,28891.21,15861.84,-10569.93,-7700.95,4227.97,575751.62,361086.81,242459.54,1179297.96,28971.86,1150326.1
15,45,575751.62,361086.81,242459.54,1179297.96,61569.0,0.5,0.3,0.2,620433.48,372260.09,248173.39,44681.86,11173.28,5713.85,21715.17,31642.11,17372.14,-11576.36,-8434.2,4630.54,630572.29,395467.99,265545.53,1291585.81,33602.4,1257983.41
16,46,630572.29,395467.99,265545.53,1291585.81,0.0,0.5,0.3,0.2,645792.91,387475.74,258317.16,15220.61,-7992.25,-7228.37,22602.75,32935.44,18082.2,-12049.53,-8778.94,4819.81,656346.13,411632.24,276399.36,1344377.74,38422.21,1305955.53
17,47,656346.13,411632.24,276399.36,1344377.74,0.0,0.5,0.3,0.2,672188.87,403313.32,268875.55,15842.74,-8318.92,-7523.82,23526.61,34281.63,18821.29,-12542.04,-9137.77,5016.81,683173.44,428457.18,287696.84,1399327.46,43439.02,1355888.44
18,48,683173.44,428457.18,287696.84,1399327.46,0.0,0.5,0.3,0.2,699663.73,419798.24,279865.49,16490.29,-8658.95,-7831.34,24488.23,35682.85,19590.58,-13054.68,-9511.26,5221.87,711097.29,445969.83,299456.08,1456523.19,48660.89,1407862.29
19,49,711097.29,445969.83,299456.08,1456523.19,0.0,0.5,0.3,0.2,728261.59,436956.96,291304.64,17164.31,-9012.87,-8151.44,25489.16,37141.34,20391.32,-13588.27,-9900.02,5435.31,740162.48,464198.27,311695.96,1516056.72,54096.2,1461960.52
20,50,740162.48,464198.27,311695.96,1516056.72,0.0,0.5,0.3,0.2,758028.36,454817.02,303211.34,17865.88,-9381.26,-8484.62,26530.99,38659.45,21224.79,-14143.67,-10304.68,5657.47,770415.68,483171.79,324436.14,1578023.6,59753.67,1518269.93
21,51,770415.68,483171.79,324436.14,1578023.6,0.0,0.5,0.3,0.2,789011.8,473407.08,315604.72,18596.12,-9764.71,-8831.42,27615.41,40239.6,22092.33,-14721.78,-10725.87,5888.71,801905.44,502920.82,337697.05,1642523.31,65642.38,1576880.92
22,52,801905.44,502920.82,337697.05,1642523.31,0.0,0.5,0.3,0.2,821261.65,492756.99,328504.66,19356.22,-10163.83,-9192.39,28744.16,41884.34,22995.33,-15323.51,-11164.27,6129.4,834682.3,523477.06,351499.99,1709659.35,71771.79,1637887.57
23,53,834682.3,523477.06,351499.99,1709659.35,0.0,0.5,0.3,0.2,854829.68,512897.81,341931.87,20147.38,-10579.26,-9568.12,29919.04,43596.31,23935.23,-15949.84,-11620.6,6379.94,868798.87,544873.52,365867.1,1779539.5,78151.72,1701387.78
24,54,868798.87,544873.52,365867.1,1779539.5,0.0,0.5,0.3,0.2,889769.75,533861.85,355907.9,20970.87,-11011.67,-9959.2,31141.94,45378.26,24913.55,-16601.77,-12095.57,6640.71,904309.92,567144.53,380821.45,1852275.91,84792.43,1767483.48
25,55,904309.92,567144.53,380821.45,1852275.91,0.0,0.5,0.3,0.2,926137.95,555682.77,370455.18,21828.03,-11461.76,-10366.27,32414.83,47233.04,25931.86,-17280.34,-12589.97,6912.14,941272.44,590325.84,396387.04,1927985.32,91704.57,1836280.75
26,56,941272.44,590325.84,396387.04,1927985.32,0.0,0.5,0.3,0.2,963992.66,578395.6,385597.06,22720.22,-11930.25,-10789.98,33739.74,49163.63,26991.79,-17986.66,-13104.56,7194.66,979745.75,614454.66,412588.86,2006789.26,98899.23,1907890.03
27,57,979745.75,614454.66,412588.86,2006789.26,0.0,0.5,0.3,0.2,1003394.63,602036.78,401357.85,23648.88,-12417.88,-11231.01,35118.81,51173.13,28095.05,-18721.84,-13640.2,7488.74,1019791.61,639569.71,429452.9,2088814.22,106387.97,1982426.25
28,58,1019791.61,639569.71,429452.9,2088814.22,0.0,0.5,0.3,0.2,1044407.11,626644.26,417762.84,24615.5,-12925.44,-11690.06,36554.25,53264.76,29243.4,-19487.07,-14197.72,7794.83,1061474.29,665711.3,447006.24,2174191.83,114182.79,2060009.04
29,59,1061474.29,665711.3,447006.24,2174191.83,0.0,0.5,0.3,0.2,1087095.92,652257.55,434838.37,25621.63,-13453.75,-12167.88,38048.36,55441.89,30438.69,-20283.58,-14778.04,8113.43,1104860.69,692921.41,465277.05,2263059.15,122296.23,2140762.93
30,60,1104860.69,692921.41,465277.05,2263059.15,0.0,0.5,0.3,0.2,1131529.58,678917.75,452611.83,26668.88,-14003.66,-12665.22,39603.54,57708.01,31682.83,-21112.64,-15382.07,8445.06,1150020.47,721243.68,484294.66,2355558.81,130741.28,2224817.53
31,61,1150020.47,721243.68,484294.66,2355558.81,0.0,0.5,0.3,0.2,1177779.41,706667.64,471111.76,27758.94,-14576.04,-13182.9,41222.28,60066.75,32977.82,-21975.6,-16010.79,8790.24,1197026.09,750723.6,504089.59,2451839.27,139531.52,2312307.75
32,62,1197026.09,750723.6,504089.59,2451839.27,0.0,0.5,0.3,0.2,1225919.64,735551.78,490367.85,28893.55,-15171.82,-13721.73,42907.19,62521.9,34325.75,-22873.82,-16665.21,9149.53,1245953.0,781408.47,524693.6,2552055.08,148681.05,2403374.03
33,63,1245953.0,781408.47,524693.6,2552055.08,0.0,0.5,0.3,0.2,1276027.54,765616.52,510411.02,30074.54,-15791.95,-14282.59,44660.96,65077.4,35728.77,-23808.76,-17346.38,9523.5,1296879.74,813347.55,546139.79,2656367.08,158204.55,2498162.52
34,64,1296879.74,813347.55,546139.79,2656367.08,0.0,0.5,0.3,0.2,1328183.54,796910.12,531273.42,31303.79,-16437.42,-14866.37,46486.42,67737.36,37189.14,-24781.91,-18055.39,9912.77,1349888.05,846592.09,568462.55,2764942.69,168117.32,2596825.37
35,65,1349888.05,846592.09,568462.55,2764942.69,0.0,0.5,0.3,0.2,1382471.35,829482.81,552988.54,32583.3,-17109.28,-15474.02,48386.5,70506.04,38709.2,-25794.84,-18793.38,10317.94,1405063.0,881195.46,591697.74,2877956.2,178435.26,2699520.94
36,66,1405063.0,881195.46,591697.74,2877956.2,0.0,0.5,0.3,0.2,1438978.1,863386.86,575591.24,33915.1,-17808.6,-16106.5,50364.23,73387.88,40291.39,-26849.17,-19561.54,10739.67,1462493.16,917213.2,615882.63,2995588.99,189174.93,2806414.06
37,67,1462493.16,917213.2,615882.63,2995588.99,0.0,0.5,0.3,0.2,1497794.5,898676.7,599117.8,35301.33,-18536.51,-16764.83,52422.81,76387.52,41938.25,-27946.6,-20361.09,11178.64,1522270.7,954703.12,641056.04,3118029.87,200353.56,2917676.31
38,68,1522270.7,954703.12,641056.04,3118029.87,0.0,0.5,0.3,0.2,1559014.94,935408.96,623605.97,36744.23,-19294.16,-17450.07,54565.52,79509.76,43652.42,-29088.88,-21193.33,11635.55,1584491.58,993725.4,667258.39,3245475.37,211989.12,3033486.25
39,69,1584491.58,993725.4,667258.39,3245475.37,0.0,0.5,0.3,0.2,1622737.68,973642.61,649095.07,38246.11,-20082.79,-18163.32,56795.82,82759.62,45436.66,-30277.85,-22059.58,12111.14,1649255.65,1034342.65,694531.73,3378130.03,224100.26,3154029.78
40,70,1649255.65,1034342.65,694531.73,3378130.03,0.0,0.5,0.3,0.2,1689065.02,1013439.01,675626.01,39809.37,-20903.64,-18905.72,59117.28,86142.32,47293.82,-31515.42,-22961.23,12606.17,1716666.87,1076620.09,722919.83,3516206.79,236706.43,3279500.37
