# Select Table
#
# 1986-92 Canadian Institute of Actuaries (CIA) - Female Nonsmoker
# Table: 433
#
# Basis: Age Nearest Birthday
# Minimum Select Age: 16
# Maximum Select Age: 80
#  
# Nation: Canada
# Scaling Factor: 0
# Data Type: Floating Point
# Row, Column (if applicable)->id:            Age Duration
# Row, Column (if applicable)->ScaleType:     Age "Ordinal Date"
# Row, Column (if applicable)->AxisName:      Age Duration
# Row, Column (if applicable)->MinScaleValue: 16   1
# Row, Column (if applicable)->MaxScaleValue: 80  15
# Row, Column (if applicable)->Increment:      1   1
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
16	0.00027	0.00027	0.00028	0.00028	0.00027	0.00027	0.00026	0.00025	0.00024	0.00024	0.00027	0.00031	0.00037	0.00042	0.00045	0.00048	0.00049	0.00051	0.00053	0.00056	0.00059	0.00063	0.00069	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1
17	0.00027	0.00027	0.00027	0.00026	0.00026	0.00025	0.00024	0.00023	0.00024	0.00026	0.0003	0.00035	0.0004	0.00044	0.00047	0.00049	0.00051	0.00053	0.00056	0.00059	0.00063	0.00069	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0
18	0.00026	0.00026	0.00025	0.00024	0.00024	0.00023	0.00022	0.00023	0.00025	0.00029	0.00034	0.00039	0.00043	0.00046	0.00048	0.00051	0.00053	0.00056	0.00059	0.00063	0.00069	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0
19	0.00024	0.00024	0.00023	0.00023	0.00022	0.00021	0.00022	0.00024	0.00028	0.00033	0.00038	0.00041	0.00044	0.00046	0.00049	0.00053	0.00056	0.00059	0.00063	0.00069	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0
20	0.00022	0.00021	0.00021	0.00021	0.0002	0.0002	0.00023	0.00027	0.00032	0.00036	0.0004	0.00043	0.00045	0.00048	0.00052	0.00056	0.00059	0.00063	0.00069	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0
21	0.00019	0.00019	0.00019	0.00019	0.00019	0.00022	0.00025	0.0003	0.00035	0.00039	0.00041	0.00043	0.00046	0.0005	0.00055	0.00059	0.00063	0.00069	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0
22	0.00016	0.00017	0.00017	0.00018	0.0002	0.00024	0.00029	0.00033	0.00037	0.0004	0.00042	0.00045	0.00049	0.00053	0.00058	0.00063	0.00069	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0
23	0.00014	0.00016	0.00017	0.00019	0.00023	0.00028	0.00032	0.00035	0.00038	0.0004	0.00043	0.00047	0.00051	0.00056	0.00061	0.00069	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0
24	0.00013	0.00015	0.00017	0.00021	0.00026	0.0003	0.00034	0.00037	0.00039	0.00042	0.00046	0.0005	0.00054	0.0006	0.00067	0.00076	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0
25	0.00012	0.00016	0.00019	0.00024	0.00028	0.00032	0.00035	0.00037	0.0004	0.00044	0.00048	0.00052	0.00058	0.00065	0.00074	0.00085	0.00093	0.001	0.00107	0.00116	0.00123	0.00132	0.00142	0.00152	0.00164	0.00178	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0
