# Ultimate Table	
#	
# 1986-92 Canadian Institute of Actuaries (CIA) - Female Smoker	
# Table: 2	
#	
# Basis: Age Nearest Birthday	
# Minimum Ultimate Age: 31	
# Maximum Ultimate Age: 105	
	0
31	0.00075
32	0.00079
33	0.00084
34	0.00092
35	0.001
36	0.00109
37	0.0012
38	0.00134
39	0.00154
40	0.00176
41	0.00198
42	0.00217
43	0.00239
44	0.00264
45	0.00287
46	0.00313
47	0.0034
48	0.00371
49	0.00404
50	0.0044
51	0.00479
52	0.00522
53	0.00569
54	0.00621
55	0.00677
56	0.00738
57	0.00806
58	0.0088
59	0.0096
60	0.01049
61	0.01145
62	0.0125
63	0.01365
64	0.01491
65	0.01628
66	0.01778
67	0.01941
68	0.02119
69	0.02312
70	0.02523
71	0.02753
72	0.03004
73	0.03276
74	0.03573
75	0.03896
76	0.04247
77	0.04631
78	0.05048
79	0.05504
80	0.06001
81	0.06543
82	0.07137
83	0.07786
84	0.08497
85	0.09276
86	0.10131
87	0.1107
88	0.12102
89	0.13237
90	0.14486
91	0.1586
92	0.17372
93	0.19034
94	0.20859
95	0.22861
96	0.25052
97	0.27444
98	0.30046
99	0.32865
100	0.36122
101	0.40904
102	0.48512
103	0.60243
104	0.774
105	1
