# Select Table
#
# 1986-92 Canadian Institute of Actuaries (CIA) - Male Nonsmoker
# Table: 432
#
# Basis: Age Nearest Birthday
# Minimum Select Age: 16
# Maximum Select Age: 80
#  
# Nation: Canada
# Scaling Factor: 0
# Data Type: Floating Point
# Row, Column (if applicable)->id:            Age Duration
# Row, Column (if applicable)->ScaleType:     Age "Ordinal Date"
# Row, Column (if applicable)->AxisName:      Age Duration
# Row, Column (if applicable)->MinScaleValue: 16   1
# Row, Column (if applicable)->MaxScaleValue: 80  15
# Row, Column (if applicable)->Increment:      1   1
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
16	0.00063	0.00073	0.00081	0.00084	0.00085	0.00083	0.00080	0.00078	0.00077	0.00079	0.00082	0.00087	0.00092	0.00097	0.00102	0.00109	0.00114	0.00118	0.00119	0.00118	0.00116	0.00115	0.00115	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000
17	0.00073	0.00080	0.00083	0.00083	0.00081	0.00077	0.00075	0.00074	0.00076	0.00080	0.00084	0.00089	0.00094	0.00099	0.00106	0.00114	0.00118	0.00119	0.00118	0.00116	0.00115	0.00115	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000
18	0.00079	0.00082	0.00082	0.00079	0.00075	0.00072	0.00072	0.00073	0.00077	0.00081	0.00086	0.00090	0.00096	0.00103	0.00110	0.00118	0.00119	0.00118	0.00116	0.00115	0.00115	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000	0.00000
19	0.00080	0.00080	0.00076	0.00072	0.00070	0.00069	0.00070	0.00073	0.00078	0.00082	0.00087	0.00093	0.00099	0.00107	0.00114	0.00119	0.00118	0.00116	0.00115	0.00115	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000	0.00000	0.00000
20	0.00077	0.00074	0.00069	0.00066	0.00066	0.00067	0.00070	0.00075	0.00079	0.00084	0.00090	0.00096	0.00104	0.00111	0.00116	0.00118	0.00116	0.00115	0.00115	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000	0.00000	0.00000	0.00000
21	0.00070	0.00066	0.00063	0.00062	0.00063	0.00067	0.00071	0.00076	0.00081	0.00086	0.00093	0.00100	0.00107	0.00112	0.00115	0.00116	0.00115	0.00115	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
22	0.00061	0.00059	0.00058	0.00060	0.00063	0.00068	0.00072	0.00077	0.00083	0.00089	0.00096	0.00103	0.00108	0.00111	0.00113	0.00115	0.00115	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
23	0.00053	0.00054	0.00056	0.00059	0.00064	0.00069	0.00073	0.00079	0.00085	0.00093	0.00100	0.00105	0.00107	0.00109	0.00111	0.00115	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
24	0.00047	0.00051	0.00055	0.00060	0.00065	0.00070	0.00075	0.00082	0.00089	0.00096	0.00101	0.00104	0.00105	0.00108	0.00112	0.00118	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	0.00044	0.00050	0.00055	0.00060	0.00066	0.00071	0.00078	0.00085	0.00092	0.00097	0.00100	0.00102	0.00104	0.00108	0.00114	0.00122	0.00131	0.00140	0.00152	0.00164	0.00178	0.00194	0.00212	0.00231	0.00253	0.00277	0.00304	0.00334	0.00367	0.00403	0.00445	0.00491	0.00542	0.00600	0.00666	0.00740	0.00824	0.00919	0.01026	0.01147	0.01284	0.01439	0.01614	0.01810	0.02031	0.02279	0.02555	0.02864	0.03207	0.03587	0.04007	0.04471	0.04980	0.05539	0.06150	0.06817	0.07543	0.08332	0.09187	0.10112	0.11113	0.12191	0.13354	0.14605	0.15949	0.17393	0.18941	0.20598	0.22371	0.24263	0.26281	0.28427	0.30704	0.33115	0.35658	0.38543	0.42814	0.49724	0.60527	0.76478	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
