# Ultimate Table
#
# 1986-92 Canadian Institute of Actuaries (CIA) - Male Nonsmoker
# Table: 2
#
# Basis: Age Nearest Birthday
# Minimum Ultimate Age: 31
# Maximum Ultimate Age: 105
	0
31	0.00109
32	0.00114
33	0.00118
34	0.00119
35	0.00118
36	0.00116
37	0.00115
38	0.00115
39	0.00118
40	0.00122
41	0.00131
42	0.00140
43	0.00152
44	0.00164
45	0.00178
46	0.00194
47	0.00212
48	0.00231
49	0.00253
50	0.00277
51	0.00304
52	0.00334
53	0.00367
54	0.00403
55	0.00445
56	0.00491
57	0.00542
58	0.00600
59	0.00666
60	0.00740
61	0.00824
62	0.00919
63	0.01026
64	0.01147
65	0.01284
66	0.01439
67	0.01614
68	0.01810
69	0.02031
70	0.02279
71	0.02555
72	0.02864
73	0.03207
74	0.03587
75	0.04007
76	0.04471
77	0.04980
78	0.05539
79	0.06150
80	0.06817
81	0.07543
82	0.08332
83	0.09187
84	0.10112
85	0.11113
86	0.12191
87	0.13354
88	0.14605
89	0.15949
90	0.17393
91	0.18941
92	0.20598
93	0.22371
94	0.24263
95	0.26281
96	0.28427
97	0.30704
98	0.33115
99	0.35658
100	0.38543
101	0.42814
102	0.49724
103	0.60527
104	0.76478
105	1.00000
